Rank,1,#,%,2,#,%,3,#,%,4,#,%,5,#,%,
1, s,1084,12.13, a,1530,17.12, a,866,9.69, e,1749,19.57, s,2785,31.16,
2, c,681,7.62, o,1384,15.48, r,822,9.2, a,693,7.75, e,949,10.62,
3, b,621,6.95, e,1110,12.42, i,763,8.54, t,643,7.19, y,940,10.52,
4, p,581,6.5, i,1001,11.2, o,696,7.79, i,601,6.72, d,595,6.66,
5, t,567,6.34, u,822,9.2, n,659,7.37, l,543,6.08, r,532,5.95,
6, a,513,5.74, r,663,7.42, l,609,6.81, n,535,5.99, t,491,5.49,
7, d,470,5.26, l,519,5.81, e,580,6.49, o,482,5.39, a,389,4.35,
8, m,460,5.15, h,391,4.37, u,456,5.1, r,467,5.22, n,380,4.25,
9, f,441,4.93, n,251,2.81, t,450,5.03, s,360,4.03, l,355,3.97,
10, r,434,4.86, y,173,1.94, s,354,3.96, k,338,3.78, h,259,2.9,
11, g,433,4.84, t,170,1.9, m,353,3.95, d,319,3.57, o,239,2.67,
12, l,416,4.65, p,153,1.71, c,286,3.2, c,295,3.3, k,187,2.09,
13, h,349,3.9, c,124,1.39, d,285,3.19, g,285,3.19, i,153,1.71,
14, w,303,3.39, m,122,1.36, p,255,2.85, p,281,3.14, m,128,1.43,
15, k,220,2.46, w,99,1.11, g,253,2.83, m,279,3.12, p,123,1.38,
16, n,208,2.33, s,66,0.74, b,231,2.58, u,265,2.96, c,99,1.11,
17, e,198,2.22, d,61,0.68, v,169,1.89, f,155,1.73, g,93,1.04,
18, o,185,2.07, k,58,0.65, w,159,1.78, b,151,1.69, f,55,0.62,
19, v,167,1.87, b,56,0.63, k,158,1.77, h,148,1.66, x,50,0.56,
20, j,139,1.56, g,51,0.57, f,126,1.41, v,98,1.1, w,40,0.45,
21, u,123,1.38, x,45,0.5, y,123,1.38, w,92,1.03, b,38,0.43,
22, i,120,1.34, v,40,0.45, x,94,1.05, z,69,0.77, u,33,0.37,
23, y,100,1.12, z,16,0.18, z,87,0.97, y,67,0.75, z,21,0.23,
24, q,56,0.63, f,14,0.16, h,70,0.78, j,14,0.16, q,2,0.02,
25, z,56,0.63, q,12,0.13, j,26,0.29, x,8,0.09, v,2,0.02,
26, x,13,0.15, j,7,0.08, q,8,0.09, q,1,0.01,j,0,0,
Total:,,8938,100.02,0,8938,100.01,0,8938,99.99,0,8938,99.99,0,8938,100,0
