"","str23","N"
"1"," aa",7
"2"," ab",55
"3"," ac",69
"4"," ad",63
"5"," ae",10
"6"," af",24
"7"," ag",57
"8"," ah",11
"9"," ai",92
"10"," aj",10
"11"," ak",48
"12"," al",125
"13"," am",87
"14"," an",140
"15"," ao",3
"16"," ap",59
"17"," aq",2
"18"," ar",208
"19"," as",85
"20"," at",107
"21"," au",68
"22"," av",59
"23"," aw",47
"24"," ax",25
"25"," ay",35
"26"," az",34
"27"," ba",11
"28"," bb",6
"29"," be",7
"30"," bh",1
"31"," bi",4
"32"," bj",1
"33"," bl",3
"34"," bm",1
"35"," bo",15
"36"," br",1
"37"," bu",3
"38"," by",3
"39"," ca",24
"40"," cc",1
"41"," ce",7
"42"," ch",14
"43"," ci",8
"44"," ck",3
"45"," cl",2
"46"," cm",2
"47"," cn",2
"48"," co",18
"49"," cr",15
"50"," ct",10
"51"," cu",17
"52"," cy",1
"53"," da",3
"54"," dd",7
"55"," de",7
"56"," dg",3
"57"," di",11
"58"," dl",3
"59"," dm",4
"60"," do",11
"61"," du",5
"62"," dy",5
"63"," dz",2
"64"," ea",132
"65"," eb",31
"66"," ec",45
"67"," ed",49
"68"," ee",88
"69"," ef",21
"70"," eg",30
"71"," eh",6
"72"," ei",47
"73"," ej",1
"74"," ek",9
"75"," el",101
"76"," em",44
"77"," en",113
"78"," eo",14
"79"," ep",29
"80"," er",129
"81"," es",53
"82"," et",66
"83"," eu",16
"84"," ev",22
"85"," ew",32
"86"," ex",22
"87"," ey",3
"88"," ez",7
"89"," fa",2
"90"," ff",4
"91"," fi",1
"92"," fo",3
"93"," fr",1
"94"," ft",3
"95"," ga",9
"96"," ge",6
"97"," gg",7
"98"," gh",2
"99"," gi",7
"100"," gl",9
"101"," gm",1
"102"," go",4
"103"," gr",4
"104"," gu",1
"105"," gw",1
"106"," ha",87
"107"," he",70
"108"," hi",89
"109"," hl",4
"110"," hm",1
"111"," ho",76
"112"," hp",1
"113"," hr",14
"114"," ht",1
"115"," hu",35
"116"," hw",1
"117"," hy",12
"118"," ia",27
"119"," ib",29
"120"," ic",55
"121"," id",52
"122"," ie",32
"123"," if",27
"124"," ig",46
"125"," ih",2
"126"," ii",1
"127"," ij",3
"128"," ik",32
"129"," il",116
"130"," im",52
"131"," in",164
"132"," io",17
"133"," ip",35
"134"," iq",2
"135"," ir",85
"136"," is",61
"137"," it",76
"138"," iv",45
"139"," iw",2
"140"," ix",21
"141"," iy",1
"142"," iz",18
"143"," je",2
"144"," ji",3
"145"," jo",1
"146"," ju",1
"147"," ka",9
"148"," ke",17
"149"," ki",21
"150"," ko",4
"151"," kr",1
"152"," ku",4
"153"," ky",2
"154"," la",128
"155"," lb",3
"156"," lc",2
"157"," ld",6
"158"," le",73
"159"," lf",2
"160"," lg",7
"161"," li",79
"162"," lk",3
"163"," ll",10
"164"," lm",6
"165"," ln",4
"166"," lo",101
"167"," lp",2
"168"," lt",5
"169"," lu",75
"170"," lv",3
"171"," lw",1
"172"," ly",9
"173"," ma",18
"174"," mb",18
"175"," mc",1
"176"," me",18
"177"," mi",30
"178"," mm",5
"179"," mn",3
"180"," mo",12
"181"," mp",10
"182"," mu",4
"183"," my",3
"184"," na",38
"185"," nb",5
"186"," nc",13
"187"," nd",15
"188"," ne",20
"189"," nf",7
"190"," ng",10
"191"," nh",2
"192"," ni",26
"193"," nj",2
"194"," nk",6
"195"," nl",8
"196"," nm",4
"197"," nn",8
"198"," no",31
"199"," np",4
"200"," nr",4
"201"," ns",9
"202"," nt",18
"203"," nu",9
"204"," nv",4
"205"," nw",4
"206"," ny",2
"207"," nz",2
"208"," oa",53
"209"," ob",33
"210"," oc",38
"211"," od",48
"212"," oe",18
"213"," of",17
"214"," og",46
"215"," oh",11
"216"," oi",48
"217"," oj",4
"218"," ok",27
"219"," ol",118
"220"," om",67
"221"," on",117
"222"," oo",144
"223"," op",56
"224"," oq",2
"225"," or",159
"226"," os",51
"227"," ot",69
"228"," ou",106
"229"," ov",29
"230"," ow",68
"231"," ox",19
"232"," oy",23
"233"," oz",13
"234"," pa",30
"235"," pb",2
"236"," pd",2
"237"," pe",24
"238"," ph",6
"239"," pi",33
"240"," pl",4
"241"," pn",1
"242"," po",17
"243"," pp",6
"244"," pr",10
"245"," ps",4
"246"," pt",4
"247"," pu",10
"248"," qu",12
"249"," ra",157
"250"," rb",5
"251"," rc",4
"252"," rd",4
"253"," re",96
"254"," rg",14
"255"," rh",1
"256"," ri",138
"257"," rk",1
"258"," rl",4
"259"," rm",5
"260"," rn",2
"261"," ro",135
"262"," rp",3
"263"," rr",7
"264"," rs",6
"265"," rt",4
"266"," ru",61
"267"," rv",3
"268"," rw",1
"269"," ry",11
"270"," rz",1
"271"," sa",6
"272"," sb",1
"273"," sc",4
"274"," sd",1
"275"," se",2
"276"," sh",5
"277"," si",3
"278"," sk",8
"279"," sl",3
"280"," sm",2
"281"," sn",2
"282"," so",3
"283"," sp",4
"284"," sq",1
"285"," ss",9
"286"," st",6
"287"," su",4
"288"," sy",2
"289"," ta",33
"290"," tc",1
"291"," te",23
"292"," th",6
"293"," ti",19
"294"," tl",1
"295"," tm",2
"296"," tn",1
"297"," to",40
"298"," tr",14
"299"," tt",6
"300"," tu",17
"301"," tw",1
"302"," ty",6
"303"," ua",31
"304"," ub",39
"305"," uc",42
"306"," ud",35
"307"," ue",19
"308"," uf",23
"309"," ug",31
"310"," uh",3
"311"," ui",36
"312"," uj",5
"313"," uk",13
"314"," ul",77
"315"," um",58
"316"," un",84
"317"," uo",11
"318"," up",29
"319"," uq",1
"320"," ur",143
"321"," us",63
"322"," ut",59
"323"," uv",2
"324"," ux",4
"325"," uy",4
"326"," uz",10
"327"," va",8
"328"," ve",13
"329"," vg",1
"330"," vi",9
"331"," vo",7
"332"," vu",2
"333"," wa",33
"334"," we",18
"335"," wf",1
"336"," wi",29
"337"," wl",1
"338"," wn",3
"339"," wo",11
"340"," ws",1
"341"," wu",1
"342"," wy",1
"343"," xa",3
"344"," xb",1
"345"," xc",1
"346"," xe",4
"347"," xi",17
"348"," xl",3
"349"," xm",2
"350"," xo",4
"351"," xp",3
"352"," xt",4
"353"," xu",3
"354"," ya",13
"355"," yb",3
"356"," yc",10
"357"," yd",3
"358"," ye",6
"359"," yg",1
"360"," yi",9
"361"," yk",8
"362"," yl",16
"363"," ym",10
"364"," yn",15
"365"," yo",8
"366"," yp",14
"367"," yr",27
"368"," ys",12
"369"," yt",12
"370"," yv",2
"371"," yw",1
"372"," yx",3
"373"," za",4
"374"," zi",3
"375"," zl",1
"376"," zo",6
"377"," zu",2
